year,population,yearly_change,yearly_percentage,age_median
1955,7039719,185961,2.87,18.5
1960,8157106,223477,2.99,17.6
1965,9526563,273891,3.15,18.5
1970,10803978,255483,2.55,17.6
1975,12162369,271678,2.40,18.6
1980,13798125,327151,2.56,19.5
1985,15598942,360163,2.48,20.5
1990,18038321,487876,2.95,21.6
1995,20495597,491455,2.59,22.5
2000,23185608,538002,2.50,23.8
2005,25659393,494757,2.05,25
2010,28112289,490579,1.84,26
2015,30723155,522173,1.79,27.7
2016,31187265,464110,1.51,28.1
2017,31624264,436999,1.40,28.1
2018,32042458,418194,1.32,28.1
